,T7,F8,Cz,P4
9235,531.5669555664061,-993.7643432617188,437.0802307128906,336.7630310058594
9236,522.232177734375,-996.1429443359376,437.2859191894531,349.07476806640625
9237,502.4256286621094,-1009.3896484375,419.371826171875,342.2120666503906
9238,520.1640014648439,-996.3187255859376,424.3234252929688,338.0420837402344
9239,532.397216796875,-980.7307739257812,436.64642333984375,339.6053466796875
9240,526.929443359375,-980.1249389648438,430.5690612792969,343.96234130859375
9241,514.3259887695311,-999.5911254882812,417.41583251953125,339.81854248046875
9242,508.7423400878906,-1001.1544189453124,418.7248229980469,327.97052001953125
9243,531.3836669921875,-976.9759521484376,442.8957824707031,340.5552978515625
9244,520.5043334960939,-992.9677734375,430.7149353027344,338.1243591308594
9245,504.7668151855469,-1009.4046020507812,411.7723388671875,338.70404052734375
9246,513.6416015625,-999.7294921875,419.196044921875,328.8606262207031
9247,535.8566284179689,-983.0308227539062,437.6524353027344,340.596435546875
9248,530.0298461914061,-992.6779174804688,428.527099609375,340.8414001464844
9249,508.9928894042969,-1001.4666748046876,414.782958984375,337.1949768066406
9250,519.300048828125,-1000.756103515625,417.3597412109375,330.83343505859375
9251,539.476806640625,-981.8995361328124,439.0885620117188,336.95562744140625
9252,532.5430297851561,-991.0921630859376,436.6838073730469,341.4846496582031
9253,512.3176879882811,-1011.5382080078124,414.3416442871094,341.4322814941406
9254,518.54833984375,-999.6004638671876,421.3315124511719,332.209716796875
9255,531.540771484375,-979.853759765625,442.6788635253906,330.98675537109375
9256,527.4006958007811,-988.98291015625,434.2491455078125,341.2079162597656
9257,506.7938537597656,-1000.8832397460938,415.7441101074219,336.24505615234375
9258,519.509521484375,-994.5889892578124,427.29290771484375,332.46026611328125
9259,540.3182983398439,-976.0091552734376,440.5920104980469,335.3923645019531
9260,520.0779418945311,-992.8275146484376,431.2646789550781,336.4769287109375
9261,504.1833801269531,-1014.0028076171876,409.360107421875,327.7442626953125
9262,507.8372802734375,-1002.9476928710938,418.41064453125,331.4692077636719
9263,529.1920776367189,-979.947265625,434.5558166503906,330.672607421875
9264,518.9111328125,-982.2211303710938,425.1163024902344,336.1852111816406
9265,497.04766845703125,-1005.2252807617188,408.7018737792969,331.9591369628906
9266,505.8813171386719,-998.209228515625,413.5076599121094,327.0673522949219
9267,531.5557250976561,-982.0565795898438,431.5863342285156,331.7721252441406
9268,521.5440063476561,-992.2328491210938,429.52191162109375,340.22430419921875
9269,498.2369384765625,-1000.5429077148438,408.98236083984375,336.9331970214844
9270,513.3087768554689,-997.0573120117188,418.28350830078125,329.6291809082031
9271,528.1075439453125,-978.5298461914062,435.3524169921875,334.17315673828125
9272,517.1795654296875,-979.6107177734376,431.9116821289063,341.4322814941406
9273,507.3435974121094,-1000.5989990234376,411.5255126953125,334.7266540527344
9274,516.2034301757811,-992.7825927734376,416.121826171875,329.6067199707031
9275,534.745849609375,-975.9456176757812,437.3382873535156,328.6642761230469
9276,531.96337890625,-980.7027587890624,430.6775207519531,336.6040954589844
9277,508.50299072265625,-995.3519287109376,409.7453002929688,331.83197021484375
9278,519.5357055664061,-989.4802856445312,420.6171875,330.68756103515625
9279,537.9434814453125,-973.2341918945312,436.6090087890625,336.1590270996094
9280,520.6464233398439,-980.4409790039062,420.3628845214844,337.03790283203125
9281,502.9903564453125,-989.383056640625,404.4496154785156,329.0307922363281
9282,508.73486328125,-980.381103515625,410.9794616699219,330.9007263183594
9283,532.4345703125,-962.9232788085938,431.7957458496094,331.0615539550781
9284,524.9024658203125,-963.3197021484376,428.1418762207031,340.85260009765625
9285,501.5617370605469,-990.0487670898438,403.7951354980469,328.06964111328125
9286,521.9067993164061,-979.9996337890624,417.142822265625,330.5304870605469
9287,533.9679565429689,-967.351318359375,433.23187255859375,329.8086853027344
9288,531.4061279296875,-976.5963134765624,423.74749755859375,336.7462158203125
9289,506.7452392578125,-985.2542114257812,408.0361633300781,331.4579772949219
9290,511.29669189453125,-974.7899780273438,416.07696533203125,325.4591979980469
9291,533.219970703125,-956.8384399414062,434.1593627929688,326.09869384765625
9292,523.0474243164061,-961.7564086914062,428.2091979980469,332.867919921875
9293,495.3834228515625,-975.792236328125,407.1236267089844,327.8976135253906
9294,506.9060363769531,-973.2715454101562,413.4814758300781,323.4246826171875
9295,536.8027954101561,-957.9566650390624,437.8057861328125,328.6642761230469
9296,519.1990966796875,-965.6870727539062,424.7497863769531,327.2580871582031
9297,499.8862609863281,-980.590576171875,397.3475341796875,325.1263427734375
9298,511.10595703125,-969.6962280273438,407.1049499511719,321.7566833496094
9299,540.0827026367189,-952.8704223632812,429.7762145996094,324.9991760253906
9300,523.99365234375,-962.399658203125,421.0211181640625,329.03826904296875
9301,506.4721984863281,-970.2459716796876,410.3623962402344,331.001708984375
9302,515.990234375,-975.0255737304688,420.1871032714844,327.62457275390625
9303,532.7674560546875,-954.3102416992188,438.9576721191406,327.4787292480469
9304,517.1907348632811,-958.4166870117188,426.3953552246094,333.8141174316406
9305,505.6943054199219,-977.7295532226562,413.7283020019531,329.8872375488281
9306,506.4422912597656,-972.3478393554688,422.0121765136719,330.4107971191406
9307,536.1483154296875,-957.1189575195312,437.671142578125,335.9383850097656
9308,521.3345947265625,-958.5812377929688,425.5688171386719,335.83740234375
9309,504.9425964355469,-979.9660034179688,406.9815368652344,332.60986328125
9310,514.0193481445311,-968.4508056640624,418.4143981933594,326.91400146484375
9311,530.7628784179689,-956.2400512695312,437.682373046875,330.76611328125
9312,521.2410888671875,-963.9442749023438,430.0604553222656,335.403564453125
9313,500.9595947265625,-979.8388061523438,407.5275573730469,327.17205810546875
9314,498.62591552734375,-970.7845458984376,412.6325073242188,320.9413757324219
9315,527.5615234375,-952.092529296875,433.3852233886719,326.8130187988281
9316,522.9801025390625,-974.2476806640624,425.6473693847656,331.846923828125
9317,505.67559814453125,-999.6715087890624,406.1961364746094,330.8708190917969
9318,516.5736694335939,-992.1804809570312,416.4434814453125,327.77044677734375
